"Problem_Name","Visual_Signs","Causes","Danger_Level","Treatment_and_Care_Recommendations","Prevention"
"Комлевая гниль","Появление плодовых тел грибов у основания ствола (особенно трутовиков). Размягчение и изменение цвета древесины в нижней части ствола (комле). Угнетённое состояние кроны, изреженность, мелкие листья. При простукивании ствола слышен глухой звук.","Поражение дереворазрушающими грибами (например, опёнок, корневая губка) через механические повреждения корней или комлевой части ствола. Переувлажнение почвы, плохой дренаж.","КРАЙНЕ ВЫСОКАЯ. Критическое снижение прочности ствола у основания. Высокий риск внезапного падения (вывала) всего дерева, даже при отсутствии сильного ветра. Представляет прямую угрозу для людей, зданий и инфраструктуры.","Лечение на сильной стадии неэффективно. Дерево считается аварийным. Рекомендуется срочное удаление (вырубка) дерева с последующим корчеванием пня для предотвращения распространения грибницы на соседние здоровые деревья.","Не допускать механических повреждений корней и основания ствола при строительных работах и благоустройстве. Обеспечить хороший дренаж почвы. Проводить регулярные осмотры прикорневой зоны."
"Стволовая гниль","Плодовые тела грибов-трутовиков на стволе. Наличие дупел. Глухой звук при простукивании. Участки с аномальным утолщением или, наоборот, усыханием ствола. Сухобочины, отслоение коры.","Проникновение спор дереворазрушающих грибов через раны на стволе: морозобойные трещины, обломы ветвей, механические повреждения, повреждения от вредителей.","ВЫСОКАЯ. Снижение прочности ствола, повышение хрупкости. Риск облома ствола при сильных ветрах или снегопадах. Опасность падения крупных частей дерева или всего ствола.","На ранних стадиях: зачистка пораженного участка до здоровой древесины, обработка фунгицидами, пломбирование дупел (санация). На сильной стадии, особенно при наличии плодовых тел, дерево подлежит удалению. Динамическое наблюдение для оценки риска.","Своевременная обрезка сломанных и больных ветвей. Обработка всех срезов и ран садовым варом или специальными замазками. Защита стволов от механических повреждений."
"Сухобочина","Вытянутый омертвевший участок коры и древесины на стволе или крупных ветвях. Кора в этом месте отсутствует или отслаивается, древесина оголена и часто растрескивается. По краям раны могут образовываться наплывы каллуса (раневой ткани).","Солнечные ожоги коры (особенно весной), резкие перепады температур (морозобоины), механические повреждения, одностороннее воздействие патогенов или вредителей.","СРЕДНЯЯ. Нарушается сокодвижение по стволу. Является 'воротами' для проникновения грибных инфекций (стволовой гнили) и вредителей. Снижает общую прочность ствола.","Зачистить мертвую древесину до здоровой ткани. Обработать рану 3-5% раствором медного купороса или другим фунгицидом. Покрыть защитным составом (садовый вар, искусственная кора). Наблюдать за состоянием дерева.","Побелка стволов молодых деревьев для защиты от солнечных ожогов. Защита стволов от механических повреждений. Поддержание общего здоровья дерева для быстрой регенерации тканей."
"Дупло","Полость внутри ствола или крупных ветвей, образовавшаяся в результате полного разрушения древесины. Может быть открытым или закрытым (скрытым). Часто имеет тёмный цвет из-за гниения.","Развитие стволовой или комлевой гнили. Деятельность насекомых-ксилофагов (древоточцев). Неправильная обрезка толстых ветвей, когда срез не зарастает.","ВЫСОКАЯ. Значительно ослабляет механическую прочность ствола или ветви. Чем больше дупло по отношению к диаметру ствола, тем выше риск излома. Может служить резервуаром для инфекций и вредителей.","Оценка глубины и ширины дупла специальными инструментами (резистограф, томограф). При небольших размерах – зачистка от гнилой трухи, дезинфекция, установка дренажа (если скапливается вода) и пломбирование. При обширных дуплах дерево считается аварийным и подлежит удалению.","Правильная обрезка ветвей 'на кольцо', без оставления пеньков. Своевременная обработка всех ран и повреждений на стволе для предотвращения развития гнилей."
"Механические повреждения","Обдиры коры, раны, трещины, сколы на стволе и ветвях. Повреждения корней при земляных работах. Часто видны следы от техники, вандализма или неправильной подвязки.","Удары от строительной или уборочной техники, повреждения при ДТП, акты вандализма, навалы снега, неправильная обрезка, обвязка проволокой или веревками, вбивание гвоздей.","НИЗКАЯ до ВЫСОКОЙ. Зависит от размера и глубины повреждения. Любое повреждение – это ворота для инфекций. Обширные повреждения нарушают сокодвижение, что ведёт к усыханию частей кроны.","Немедленно обработать рану: зачистить края, дезинфицировать раствором фунгицида (например, медного купороса) и покрыть защитным средством (садовый вар, лак-бальзам). При повреждении корней – обильный полив, возможно применение стимуляторов корнеобразования.","Установка защитных ограждений вокруг деревьев на стройплощадках и парковках. Обучение персонала, работающего с техникой. Использование мягких материалов для подвязки саженцев."
"Сухие ветви / Суховершинность","Наличие в кроне мёртвых, безлистных ветвей. Суховершинность – усыхание вершины дерева, основной точки роста. Оценивается в процентах от общего объёма кроны.","Естественное старение, недостаток света в загущенной кроне, болезни (сосудистые микозы, рак), вредители, засуха, повреждение корневой системы, нарушение питания.","НИЗКАЯ (до 25%): Часто является нормальным процессом самоочищения кроны. СРЕДНЯЯ (25-75%): Сигнализирует о серьезных проблемах со здоровьем. ВЫСОКАЯ (>75%): Дерево, как правило, усыхающее или уже мёртвое. Сухие ветви хрупкие и могут падать, создавая угрозу.","Проведение санитарной обрезки – удаление всех сухих и больных ветвей. Срез делать 'на кольцо' до здоровой ткани. Выяснение и устранение первопричины (лечение болезней, полив, подкормка). При усыхании более 75% кроны дерево обычно подлежит удалению.","Регулярный полив в засушливые периоды. Своевременные подкормки. Профилактические обработки от болезней и вредителей. Формирующая обрезка для предотвращения загущения кроны."
"Сухостой (текущего и прошлых лет)","Дерево полностью высохло. Отсутствие листьев (хвои) в вегетационный период. Кора отслаивается и опадает, древесина растрескивается. Сухостой текущего года может иметь мелкие сухие листья. У сухостоя прошлых лет кора, как правило, уже отсутствует на больших участках.","Гибель дерева в результате болезней, вредителей, засухи, подтопления, пожара, сильного повреждения ствола или корней.","КРАЙНЕ ВЫСОКАЯ. Сухое дерево быстро теряет прочность, становится хрупким. Высокий риск падения как отдельных крупных ветвей, так и всего ствола. Является источником распространения вредителей (короедов) и пожароопасно.","Лечение невозможно. Сухостойные деревья подлежат обязательному и срочному удалению, особенно в общественных местах, вблизи дорог, зданий и линий электропередач.","Комплексный уход за зелёными насаждениями: мониторинг состояния, своевременное выявление и лечение ослабленных деревьев, полив, защита от вредителей."
"Отслоение коры","Кора отходит от ствола пластами или вздувается 'пузырями'. Под отслоившейся корой древесина может быть сухой или влажной и гнилой. Часто сопровождается ходами вредителей.","Некроз (омертвение) камбия из-за грибных или бактериальных инфекций. Деятельность стволовых вредителей. Солнечные ожоги, морозобоины. Нарушение сокодвижения. Часто является вторичным признаком гибели дерева.","ВЫСОКАЯ. Сигнализирует о серьезном, часто необратимом нарушении жизненных функций дерева. Указывает на гибель участка или всего ствола. Высокая вероятность усыхания и превращения в сухостой.","Если отслоение локальное, можно попробовать зачистить участок до здоровой ткани и обработать фунгицидами. Если процесс обширный, дерево, скорее всего, нежизнеспособно и подлежит удалению.","Защита стволов от механических повреждений и солнечных ожогов. Своевременная борьба с вредителями и болезнями. Поддержание общего иммунитета дерева."
"Рак (бактериальный, грибной)","На стволе и ветвях образуются язвы, наросты, опухоли, вдавленные участки. Раны часто имеют ступенчатую форму из-за попыток дерева зарастить повреждение. Может наблюдаться истечение сока (камедетечение у косточковых).","Проникновение патогенных бактерий или грибов через раны в коре. Патоген вызывает локальное отмирание тканей (некроз). Ослабленный иммунитет дерева способствует развитию болезни.","СРЕДНЯЯ до ВЫСОКОЙ. Рак нарушает сокодвижение, ослабляет ветви и ствол, что может привести к их облому. Язвы являются воротами для вторичных инфекций, включая гнили. Сильное поражение может привести к гибели дерева.","На ранних стадиях – хирургическое лечение: вырезание пораженной ткани с захватом 1-2 см здоровой, дезинфекция раны медным купоросом, обработка садовым варом. Сильно пораженные ветви удаляют целиком. При обширном раке на стволе лечение часто нецелесообразно.","Выбор устойчивых сортов. Профилактические весенние и осенние обработки фунгицидами (например, бордоской жидкостью). Дезинфекция инструмента при обрезке. Повышение общего иммунитета растений."
"Повреждение вредителями","Наличие на коре входных/выходных отверстий, буровой муки (похожа на опилки). Ходы и личинки под корой. Усыхание и изменение цвета хвои/листьев. Изреживание кроны.","Атаки насекомых-ксилофагов (короеды, усачи, златки), листогрызущих вредителей (шелкопряды, пилильщики), сосущих (тли, щитовки). Часто поражают ослабленные деревья.","ВЫСОКАЯ. Стволовые вредители нарушают проводящие ткани, что быстро ведет к гибели дерева. Массовое размножение может привести к эпидемии и гибели целых насаждений. Ослабленные деревья становятся аварийноопасными.","Применение инсектицидов (опрыскивание, стволовые инъекции). Установка феромонных ловушек для отлова и мониторинга. Удаление и сжигание сильно заселённых деревьев для предотвращения распространения.","Поддержание здоровья и стрессоустойчивости деревьев. Привлечение естественных врагов вредителей (птиц). Проведение регулярных осмотров для раннего выявления признаков заселения."
"Вывал / Частичный вывал корневой системы","Дерево наклонено, с одной стороны от ствола наблюдается приподнятый грунт и обрыв корней. Видимые трещины в почве вокруг основания ствола.","Сильный ветер (особенно при переувлажненной почве). Ослабление корней из-за гнили (комлевая гниль). Повреждение или подрезка крупных корней при строительстве. Неправильная посадка с загнутыми корнями.","КРАЙНЕ ВЫСОКАЯ. Дерево потеряло устойчивость и может упасть в любой момент. Даже частичный вывал свидетельствует о критическом повреждении якорных корней. Прямая и неминуемая угроза.","Лечение невозможно. Дерево с признаками вывала корневой системы подлежит немедленному удалению. Необходимо срочно ограничить доступ людей и техники в зону возможного падения.","Сохранение корневой системы при проведении работ. Не допускать переувлажнения и уплотнения грунта в прикорневой зоне. Выбирать для посадки ветроустойчивые породы."
"Трещина (морозобойная, продольная)","Разрыв коры и древесины вдоль ствола. Морозобойные трещины часто образуются зимой с южной или юго-западной стороны ствола. Могут быть неглубокими или уходить вглубь ствола.","Резкие перепады температур зимой, когда нагретая днём кора быстро остывает ночью. Внутренние напряжения в древесине. Удар молнии. Нагрузки от ветра на деревья с развилками.","СРЕДНЯЯ. Нарушает целостность ствола. Является идеальными воротами для проникновения спор грибов, вызывающих гнили. Снижает механическую прочность, особенно если трещина глубокая.","На ранней стадии можно стянуть края трещины скобами или болтами (каблинг) для стимуляции зарастания. Зачистить и продезинфицировать рану. Не рекомендуется замазывать глубокие трещины герметиками, так как внутри будет скапливаться влага.","Побелка стволов для уменьшения нагрева солнечными лучами зимой. Поддержание общего здоровья дерева для эластичности тканей. Правильное формирование кроны для снижения ветровых нагрузок."
"Пень / Остолоп","Пень – остаток ствола после спиливания дерева. Остолоп – высокий пень, ствол дерева, лишенный кроны (например, после облома вершины ураганом).","Удаление дерева (спил). Природные явления (ветер, молния), приведшие к облому большей части ствола.","НИЗКАЯ (для устойчивого пня) до ВЫСОКОЙ (для высокого остолопа). Пень может быть источником распространения корневых гнилей (например, опёнка). Высокий остолоп неустойчив и может упасть. Оба могут служить местом размножения вредителей.","Пень рекомендуется корчевать, особенно если дерево было больным. Остолоп следует спилить до уровня низкого пня или удалить полностью. В некоторых случаях остолопы используют для создания парковых скульптур, но только после оценки их устойчивости.","Своевременное удаление остатков больных деревьев. Планирование лесопарковых работ, включающее корчевание пней."